date: 2018-12-25 16:07:38.969000, runtime: 9.37299990654
date: 2018-12-25 16:08:00.274000, runtime: 9.35400009155
date: 2018-12-25 16:08:52.568000, runtime: 165.794999838
date: 2018-12-26 21:27:26.953000, runtime: 86.0690000057
date: 2018-12-31 06:08:56.127000, runtime: 86.5710000992 Python2 @ home
date: 2019-01-14 05:48:08.072000, runtime: 50.5279998779
date: 2019-01-17 21:18:21.091780, runtime: 41.71307945251465 Python3 @ home
date: 2019-01-20 09:39:35.424186, runtime: 46.083080530166626
date: 2019-01-21 06:46:38.445848, runtime: 55.87250304222107
date: 2019-01-28 06:08:55.363729, runtime: 53.557018756866455
date: 2019-02-04 05:51:45.862564, runtime: 108.13150429725647
date: 2019-02-11 17:18:14.486536, runtime: 113.0197389125824
date: 2019-02-18 05:19:57.167329, runtime: 113.95608139038086
date: 2019-02-25 05:50:21.593917, runtime: 100.39062309265137
date: 2019-03-04 06:05:50.729185, runtime: 91.06255650520325
date: 2019-03-11 06:06:40.531917, runtime: 104.9402060508728
date: 2019-03-18 05:54:31.209151, runtime: 110.56699228286743
date: 2019-04-01 05:58:09.127949, runtime: 105.386075258255
date: 2019-04-08 06:54:16.676059, runtime: 105.70728898048401
date: 2019-04-22 06:21:54.922458, runtime: 117.45573091506958
date: 2019-04-25 21:38:42.470673, runtime: 96.26756644248962
date: 2019-04-26 05:32:03.490027, runtime: 129.49462747573853
